Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Customer_Days,Response
83812,,0,12,514,22,732,42,198,79,0,0,0,0,0,2596,1
104753,,1,30,231,7,137,4,15,39,0,0,0,0,0,2625,1
73478,,1,79,104,1,54,13,9,14,0,0,0,0,0,2408,0
90246,,0,82,110,29,92,28,10,145,1,0,0,0,0,2433,0
100014,,0,25,817,183,797,106,163,20,0,0,1,1,0,2723,1
99431,,0,79,4,9,16,17,0,12,0,0,0,0,0,2762,0
96904,,1,65,215,7,33,3,0,13,0,1,0,0,0,2569,0
83629,,0,26,1,3,4,2,2,6,0,0,0,0,0,2511,0
73661,,0,51,10,14,29,4,2,36,0,0,0,0,0,2428,0
84633,,1,84,30,0,8,2,0,14,0,0,0,0,0,2208,0
77922,,1,72,293,0,87,4,11,23,0,0,0,0,0,2858,1
131361,,0,32,777,129,573,216,21,203,0,0,1,0,0,2765,0
84738,,2,86,100,1,39,6,1,76,1,0,0,0,0,2410,0
98904,,1,52,31,0,6,2,1,5,0,0,0,0,0,2209,0
86778,,0,53,437,8,206,160,49,42,1,0,0,0,0,2672,1
103204,,0,12,667,50,850,21,83,83,0,0,0,0,0,2849,1
91769,,0,85,829,138,430,60,92,15,0,0,0,0,0,2782,0
78164,,0,27,340,21,134,258,14,56,0,0,0,0,0,2217,0
106981,,0,11,63,3,67,8,9,28,0,0,0,0,0,2509,1
89771,,0,65,1060,21,530,32,0,224,1,0,1,1,0,2803,1
76997,,0,0,464,5,64,7,0,37,0,0,0,0,1,2173,1
65253,,1,56,215,63,507,231,31,190,0,0,0,0,0,2550,0
101012,0,,18,163,23,424,27,65,76,0,0,0,0,0,2283,1
102914,1,,13,1,6,7,0,1,3,1,0,0,0,0,2477,1
79440,0,,74,30,3,47,19,21,42,0,0,0,0,0,2596,0
99544,0,,16,918,57,842,99,38,133,0,0,0,1,0,2671,1
128618,0,,19,836,185,575,24,25,77,1,0,0,0,0,2475,1
93322,0,,4,482,34,471,119,68,22,0,0,0,0,0,2653,0
99854,0,,3,154,22,202,39,30,8,0,0,0,0,0,2635,1
109235,0,,76,267,98,606,48,70,98,0,0,1,0,0,2556,1
85701,0,,23,124,83,267,85,59,35,0,0,0,0,0,2694,1
102203,1,,81,167,2,44,6,2,19,1,0,0,0,0,2768,1
126445,1,,58,19,6,20,0,5,12,0,0,0,0,0,2215,0
76304,0,,81,0,0,2,3,3,8,1,0,0,0,0,2291,0
83183,1,,51,3,2,10,3,0,2,0,0,0,0,0,2208,0
64906,0,,88,4,1,11,6,2,2,0,0,0,0,0,2703,0
128468,0,,61,1492,38,287,50,57,33,0,1,1,1,1,2562,1
68351,1,,36,139,13,78,20,13,36,0,0,0,0,0,2849,1
113159,0,,16,1302,68,731,89,114,45,0,1,1,1,0,2296,1
125437,0,,62,1111,24,790,160,45,172,0,1,1,1,0,2641,1
113684,0,,78,897,161,430,186,161,27,1,0,1,1,0,2423,1
111905,1,,2,2,4,9,0,4,5,0,0,0,0,0,2456,0
121853,0,,30,196,0,512,33,130,54,0,0,0,1,0,2612,1
134196,1,,44,676,161,426,210,44,58,0,0,0,0,0,2840,1
120440,1,,31,9,0,6,4,1,5,0,0,0,0,0,2742,0
131657,0,,6,303,23,751,82,26,191,0,0,0,0,0,2688,1
79819,0,0,,217,77,373,111,23,93,0,0,0,0,0,2429,0
67256,0,0,,1111,24,790,160,45,172,0,1,1,1,0,2641,1
138347,1,0,,2,5,12,4,8,7,0,0,0,0,0,2361,0
84984,1,0,,5,3,4,4,1,0,0,0,0,0,0,2764,0
103233,0,1,,529,0,356,63,28,0,0,0,0,0,0,2197,0
100387,0,1,,157,43,127,68,56,37,1,0,0,0,0,2671,1
99678,1,1,,505,72,270,36,27,54,0,0,0,0,0,2637,0
114813,0,1,,261,23,73,4,23,50,0,0,0,0,0,2607,0
75130,0,0,,899,102,838,133,102,40,0,0,0,0,0,2814,1
120038,0,0,,576,172,961,125,115,19,0,0,0,0,0,2687,1
74336,1,0,,172,3,115,16,0,18,0,0,0,0,0,2311,1
95183,0,1,,1170,48,320,42,32,192,1,0,0,0,0,,1
90760,0,0,,693,21,925,31,24,84,0,0,1,1,0,,1
115352,0,1,,750,71,174,13,10,20,0,0,0,0,0,,0
96231,1,1,,57,0,27,0,0,36,0,0,0,0,0,,1
98726,0,0,,351,16,156,7,5,145,0,0,0,0,0,,0
84242,0,0,,709,93,374,104,80,80,0,0,0,0,0,,0
57500,1,0,,1218,16,272,104,0,80,0,1,1,1,0,,1
130124,1,0,,25,6,16,20,0,5,0,0,0,0,0,,0
124068,1,1,,,18,16,24,26,18,0,0,0,0,0,,0
92395,1,0,0,,0,73,0,0,23,0,0,0,0,0,,0
108917,1,1,81,,1,79,7,1,79,1,0,0,0,0,,1
86038,1,0,10,,7,31,15,4,7,0,0,0,0,0,,1
136610,1,1,20,,4,56,0,9,31,0,0,0,0,0,,0
102531,0,0,1,,12,9,0,14,7,0,0,0,0,0,,0
96014,0,1,21,,16,165,0,24,82,0,0,0,0,0,,0
135606,1,2,10,,7,89,0,7,28,0,0,0,0,0,,0
125774,0,0,12,,2,5,6,0,3,0,0,0,0,0,,0
133151,0,1,28,,17,572,93,125,17,0,0,0,0,0,,1
132571,0,1,80,,44,215,0,17,36,1,0,0,0,0,,1
115640,1,1,54,,3,147,4,24,41,0,0,0,0,0,,1
93142,0,0,57,,66,653,17,0,26,0,0,0,0,0,,0
80560,0,0,29,,22,388,104,22,34,0,0,0,1,0,,0
108293,1,0,19,,0,24,3,3,2,0,0,0,0,0,,1
106253,1,0,16,,10,125,21,13,16,0,0,0,0,0,,1
107744,0,0,52,,35,169,58,17,35,0,1,1,0,0,,0
131574,1,0,51,,2,16,3,2,19,0,0,0,0,0,,1
81928,1,0,19,,3,26,10,9,3,0,0,0,0,0,,1
97889,1,2,81,,36,168,16,0,108,0,0,0,0,0,,1
118657,1,0,64,,2,51,6,2,24,0,0,0,0,0,,0
63724,0,0,20,,178,689,41,27,44,0,1,1,1,0,,1
103172,0,1,96,115,,44,4,146,139,0,0,0,0,0,,1
69346,1,1,49,132,,16,0,0,4,0,0,0,0,0,,0
72682,0,1,35,691,,61,10,0,46,0,1,0,0,1,2500,1
70559,0,0,54,376,,462,168,53,53,0,0,0,0,0,2545,0
110000,0,0,25,507,,520,242,40,26,0,0,0,1,0,2317,1
74570,1,1,96,18,,19,0,2,6,0,0,0,0,0,2293,0
126140,1,0,21,1,,7,4,3,11,0,0,0,0,0,2757,0
107959,0,0,14,558,,622,207,175,95,0,0,1,0,0,2289,1
105412,1,1,24,10,,10,3,1,7,0,0,0,0,0,2341,1
86807,1,1,2,46,,12,0,2,23,0,0,0,0,0,2274,1
132427,1,1,35,48,,57,24,15,25,0,0,0,0,0,2245,0
99767,2,1,87,189,,55,0,5,12,0,0,0,0,0,2739,0
88725,0,0,33,822,,108,179,137,114,0,0,1,1,0,2651,1
104132,0,0,35,1181,,120,17,13,39,1,0,0,0,0,2837,1
124881,0,1,90,1013,,399,60,46,153,0,0,0,0,0,2785,1
85860,0,1,72,505,,26,0,0,75,0,1,0,0,0,2743,0
92387,1,0,13,56,,76,17,1,18,1,0,0,0,0,2537,1
132497,0,0,10,464,,873,29,18,37,0,0,0,1,0,2379,1
144472,1,1,33,17,,3,0,0,1,0,0,0,0,0,2251,0
135431,0,0,71,34,,66,3,10,20,0,0,0,0,0,2532,0
101650,0,0,60,1166,,48,0,0,36,0,1,1,0,0,2795,0
119627,0,1,62,614,35,,58,35,35,0,0,0,0,0,2702,0
117131,1,1,84,15,10,,8,17,20,0,0,0,0,0,2283,0
96423,0,0,1,1248,16,,43,16,16,0,1,1,1,1,2575,1
87395,0,1,38,158,19,,25,0,38,0,1,1,0,0,2816,1
104414,0,1,83,473,21,,19,21,56,0,0,0,0,0,2735,0
78087,1,1,33,15,0,,7,3,7,0,0,0,0,0,2710,0
78587,1,0,24,163,0,,0,126,75,0,1,1,1,0,2839,1
67003,0,1,43,284,3,,4,7,23,0,0,0,0,0,2471,0
67345,1,1,63,29,4,,2,4,4,0,0,0,0,0,2852,0
120596,0,1,82,462,0,,6,0,4,0,1,0,,0,2742,1
108607,0,0,88,714,76,,116,0,12,0,0,0,,0,2581,1
81497,0,0,9,577,0,,0,0,51,1,0,0,,0,2702,1
130184,0,0,64,882,29,,38,29,44,0,0,1,,0,2465,1
122298,0,0,87,736,163,,212,163,61,0,1,0,,0,2798,0
86802,0,1,50,407,53,,58,150,26,0,0,0,,0,2756,0
92731,1,0,84,27,2,,0,0,0,0,0,0,,0,2195,0
82414,1,0,60,1,2,,4,3,13,1,0,0,,0,2786,1
75127,0,0,73,389,91,,64,49,41,0,0,0,,0,2756,1
38452,0,0,49,690,117,,76,102,88,0,0,0,,0,2423,0
61787,0,0,99,273,86,,177,14,43,0,0,0,,0,2193,0
68148,0,0,3,890,63,,0,25,12,0,0,0,,0,2823,1
40706,1,1,24,8,0,,0,0,0,0,0,0,,0,2434,0
51141,1,0,0,6,16,24,,0,34,1,0,0,,0,2241,1
53977,0,1,35,231,161,215,,30,53,0,0,,0,0,2628,0
61286,0,1,49,382,138,65,,26,59,0,0,,0,0,2719,0
44689,1,0,14,19,3,19,,1,3,0,0,,0,0,2213,0
39453,0,0,73,1200,105,758,,42,147,0,1,,0,0,2635,1
85844,1,0,32,4,7,7,,4,13,0,0,,0,0,2569,0
27159,0,0,84,408,61,109,,122,41,0,0,,1,0,2678,0
65073,0,0,69,722,27,102,,72,168,0,1,,1,0,2633,1
22634,1,0,54,19,8,29,,12,26,1,0,,0,0,2471,1
23763,0,1,9,460,35,422,,12,153,0,0,,0,0,2749,0
29548,0,1,97,1004,59,265,,59,27,1,0,,0,0,2651,1
23626,0,1,3,322,3,50,,3,42,0,0,,0,0,2778,1
22070,0,0,36,244,51,270,,0,45,0,0,,0,0,2229,0
66835,0,0,29,1156,120,915,,144,96,0,0,,0,0,2295,1
49980,1,0,11,10,7,19,,2,21,0,0,,0,0,2427,0
52614,0,0,48,980,37,265,,163,31,0,0,,0,0,2837,1
85693,1,0,81,3,3,7,,2,9,0,0,,0,0,2522,0
39548,1,0,82,23,0,15,,2,7,0,0,,0,0,2553,0
54386,0,0,29,358,108,413,,97,32,0,0,,0,0,2576,0
77882,0,0,74,1067,138,750,,19,39,0,1,,1,0,2402,1
70179,0,1,5,520,8,223,,49,42,1,0,,0,0,2819,1
40521,0,1,98,459,0,24,,0,4,0,1,,0,0,2792,1
52190,0,0,13,298,27,697,216,,166,0,,0,0,0,2658,1
65808,0,0,95,490,44,125,29,,22,0,,1,0,0,2702,1
46086,1,1,82,18,0,5,0,,11,1,,0,0,0,2329,0
81975,0,0,19,464,151,292,65,,30,0,,1,0,0,2293,1
37401,1,0,13,1,3,3,8,,13,0,,0,0,0,2403,0
65324,1,0,30,16,14,36,37,,48,0,,0,0,0,2562,1
60491,0,0,53,1193,33,281,129,,33,0,,1,0,0,2430,0
28691,0,0,60,448,71,951,40,,17,0,,1,0,0,2591,1
22419,1,0,42,235,0,235,19,,191,0,,0,0,0,2767,0
82576,0,0,86,7,7,14,7,,15,0,,0,0,0,2713,0
31158,1,0,44,155,1,25,0,,3,0,,0,0,0,2699,0
69719,0,1,61,1492,38,287,50,,33,0,,1,1,1,2562,1
42315,1,1,0,178,4,26,8,,44,0,,0,0,0,2556,0
66503,1,1,0,22,0,19,6,,3,0,,0,0,0,2169,0
38853,0,0,0,471,102,125,212,,245,0,,1,1,0,2716,1
34026,0,1,0,167,0,43,6,,13,0,,0,0,0,2304,0
55250,0,1,0,28,0,9,3,,0,0,,0,0,0,2262,0
24221,0,1,0,430,16,322,0,,0,,,0,0,0,2582,0
64325,1,1,0,135,1,41,0,,0,,0,0,0,0,2510,0
70421,1,1,0,144,1,32,0,,0,,0,0,0,0,2437,0
58482,1,0,0,10,0,7,0,0,,,0,0,0,0,2445,0
53083,0,0,0,728,0,133,0,8,,,0,0,0,0,2714,0
7500,0,0,0,960,0,883,0,38,,,0,0,1,0,2634,1
59666,0,0,0,1276,0,746,94,29,,,0,1,0,0,2414,1
48721,1,1,0,5,0,10,6,5,,,0,0,0,0,2627,0
64795,0,0,0,152,0,103,106,54,,,1,1,1,0,0,1
30732,1,1,0,100,0,16,2,1,,,0,0,0,0,0,1
80685,1,0,0,9,0,24,2,1,,,0,0,0,0,0,0
14661,0,1,0,102,1,15,2,0,,,0,0,0,0,0,0
65735,0,1,0,408,0,21,0,0,,,0,0,0,0,0,1
14045,0,0,0,482,147,509,104,0,,,0,1,0,0,0,0
49096,0,0,0,968,147,842,137,0,,,0,1,0,0,0,1
34421,1,0,0,275,0,86,10,0,66,,0,0,0,0,2596,0
71952,1,0,0,7,0,12,13,0,32,1,0,0,0,0,2856,1
51518,0,0,0,1076,0,103,29,0,68,0,1,1,0,,2549,1
28420,0,1,0,173,0,39,3,0,47,0,0,0,0,,2545,0
34469,0,0,0,217,0,690,50,26,38,0,0,0,0,,0,1
67046,0,0,0,6,0,11,11,1,16,0,0,0,0,,0,0
52614,0,1,92,544,0,133,23,151,107,0,0,0,0,,0,0
18169,0,0,38,452,0,514,13,30,0,0,0,0,0,,0,1
82623,0,0,35,816,0,549,216,66,99,0,0,0,0,,0,1
42710,1,0,76,4,0,11,3,7,32,0,0,0,0,,0,1
41039,0,1,39,380,0,47,6,0,34,0,1,0,0,,0,1
35946,0,1,64,70,0,17,0,0,6,0,0,0,0,,0,0
61250,0,1,8,277,21,64,62,21,25,0,0,0,0,,0,0
35388,1,1,33,20,1,28,3,3,2,0,0,0,0,,2606,1
54108,1,0,68,2,1,6,2,1,1,0,0,0,0,0,2716,0
46106,1,0,2,14,0,16,0,0,6,0,0,0,0,0,2493,1
48150,1,1,2,38,4,22,3,0,3,0,0,0,0,0,2531,1
67432,1,0,75,0,0,23,4,0,19,0,0,0,0,0,2823,1
22701,0,0,92,0,35,305,46,0,227,0,0,0,0,0,2197,0
14421,0,0,0,0,104,379,111,0,218,0,0,0,0,0,2172,1
45894,1,1,8,0,33,60,8,0,15,0,0,0,0,0,2703,1
27683,1,1,58,0,3,10,8,0,7,0,0,0,0,0,2228,0
34704,0,0,14,0,35,731,39,0,114,0,0,1,0,0,2804,1
2447,0,1,90,138,3,38,4,0,59,0,0,0,0,0,2587,0
45160,0,0,56,536,27,590,38,0,67,1,0,1,0,0,2808,1
15759,1,1,0,8,2,5,3,0,3,0,0,0,0,0,2251,0
73448,0,0,0,124,83,267,85,59,35,0,0,0,0,0,2694,1
44964,0,1,0,941,14,397,76,58,176,0,0,0,0,0,2804,1
75027,0,1,0,0,48,186,39,18,198,0,0,0,0,0,0,1
24027,1,0,0,0,2,18,3,0,24,0,0,0,0,0,0,1
77297,0,0,0,0,23,117,179,28,44,0,0,0,1,0,0,1
84574,1,0,0,0,7,5,2,15,0,0,0,0,0,0,0,0
34935,0,1,0,0,3,52,2,1,0,0,0,0,0,0,0,1
9548,1,0,68,0,12,141,43,39,0,0,0,0,0,0,0,1
25252,1,0,39,0,2,28,3,2,0,0,0,0,0,0,0,0
36997,0,0,29,0,29,890,250,27,0,0,0,0,0,0,0,1
24645,0,2,54,35,0,4,0,0,0,0,0,0,0,0,0,0
74716,0,1,53,204,5,39,17,0,0,0,0,0,0,0,2844,1
34074,1,0,56,244,15,108,4,15,50,0,0,0,0,0,2840,1
52074,1,0,52,3,3,7,0,2,11,0,0,0,0,0,2404,0
38887,0,0,63,789,0,142,12,9,38,0,0,0,0,0,2734,0
59292,1,0,52,1,4,10,29,0,36,1,0,0,0,0,2817,0
67911,0,0,27,10,24,15,0,1,30,1,0,0,0,0,2293,1
65569,0,0,0,29,0,5,0,1,5,0,0,0,0,0,2587,0
44421,0,0,0,275,59,107,0,101,59,0,0,0,0,0,0,0
69805,0,0,0,216,162,224,0,92,162,0,0,0,0,0,0,1
80573,1,0,0,25,1,13,0,0,3,0,0,0,0,0,0,0
14849,0,0,0,10,3,3,0,0,0,0,0,0,0,0,0,0
74268,0,0,0,995,112,417,42,48,41,0,0,0,0,0,0,1
51563,1,1,0,70,3,37,4,2,64,0,0,0,0,0,0,1
26067,0,0,0,565,42,548,64,83,99,0,0,0,0,0,0,1
7500,0,0,0,1003,34,0,134,51,34,0,0,0,1,0,0,1
42081,0,0,0,1206,55,0,168,18,18,0,0,0,0,0,0,0
51012,0,0,0,416,46,0,60,107,46,0,0,0,0,0,0,1
67445,1,0,9,234,14,0,19,10,42,0,0,0,0,0,2317,0
77353,1,0,20,6,4,0,4,3,8,0,0,0,0,0,2638,0
10245,1,1,3,1099,0,0,0,0,34,0,1,0,0,0,2795,1
39747,0,1,17,1004,12,0,32,12,36,0,0,0,1,0,2766,1
44325,1,1,40,8,4,0,3,0,3,0,0,0,0,0,2820,0
66726,0,0,79,908,43,0,40,0,21,0,1,1,1,0,2486,1
32632,0,1,93,0,22,0,6,0,92,0,0,0,0,0,2773,0
44953,0,0,13,0,185,687,145,0,241,0,0,1,0,0,2848,1
61456,1,0,23,0,1,2,0,0,1,0,0,0,0,0,2172,0
50870,0,1,77,0,0,12,0,0,48,0,0,0,0,0,2245,0
69755,1,0,16,0,10,12,3,0,40,0,0,0,0,0,2298,1
40451,1,1,7,0,2,56,0,0,0,0,0,0,0,0,0,1
59462,0,0,32,0,11,137,179,0,45,0,0,0,0,0,0,0
37717,0,0,78,0,161,430,186,161,27,0,0,1,0,0,0,1
77610,1,0,26,2,0,9,3,6,2,0,0,0,0,0,0,0
12393,1,1,72,43,4,12,8,0,27,0,0,0,0,0,0,0
17144,0,0,21,380,98,733,110,112,28,0,0,1,0,0,0,1
33456,0,1,79,543,10,205,160,143,82,0,0,0,0,0,0,1
56775,1,1,65,10,5,28,11,1,8,0,0,0,0,0,0,0
67716,0,1,53,965,69,279,54,41,69,0,0,0,0,0,0,1
55635,0,0,94,8,9,9,2,5,22,0,0,0,0,0,0,0
20130,1,2,11,416,0,26,0,0,4,0,1,0,0,0,0,1
26091,1,0,21,0,17,52,3,19,30,1,0,0,0,0,0,1
48767,1,0,64,0,0,6,6,2,6,0,0,0,0,0,0,0
47850,0,0,51,0,6,27,12,17,39,0,0,0,0,0,0,0
48877,1,2,79,0,1,21,3,0,10,0,0,0,0,0,0,0
38590,1,0,12,0,4,16,3,10,30,0,0,0,0,0,0,1
30372,1,1,26,0,9,45,3,15,20,0,0,0,0,0,0,1
18393,0,0,8,0,16,128,0,0,160,0,1,0,0,1,0,1
44322,0,1,92,0,27,421,13,195,71,0,0,0,0,0,0,0
59925,0,0,10,0,26,269,34,13,42,0,1,0,0,0,0,1
46734,0,0,36,671,47,655,145,111,15,0,0,0,0,0,0,1
37292,0,1,96,712,0,45,0,0,191,1,0,0,0,0,0,0
64413,0,0,60,526,80,553,123,94,53,0,0,0,1,0,0,1
54252,1,0,92,6,2,18,2,8,14,0,0,0,0,0,0,0
46910,0,0,23,3,9,0,13,2,39,1,0,0,0,0,0,1
32880,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
38175,0,1,0,731,60,0,78,12,73,0,0,0,0,0,2666,0
58582,0,1,0,1050,12,0,0,0,24,0,0,0,1,1,2673,1
26091,0,0,0,965,34,0,89,86,37,1,0,0,0,0,2760,0
34026,0,1,0,254,10,0,30,10,227,1,0,0,0,0,2697,0
33996,1,0,0,448,0,0,80,0,91,0,0,0,0,0,2692,0
66000,0,0,0,1060,0,0,80,20,101,1,0,1,1,0,2171,1
45068,0,1,0,5,0,0,3,0,0,0,0,0,0,0,2828,0
45989,0,0,0,144,0,0,0,0,0,0,0,0,0,0,2515,0
75507,1,0,0,656,0,455,52,107,0,1,0,1,0,0,2694,0
72063,0,0,0,56,0,29,2,14,0,0,0,0,0,0,2191,1
46831,0,0,0,448,0,125,0,101,0,1,0,1,0,0,2196,1
34380,0,0,0,1285,0,449,0,20,0,0,0,1,0,0,2422,1
54162,1,0,0,33,0,24,0,2,0,0,0,0,0,0,2252,0
68655,0,1,0,53,0,8,0,0,0,0,0,0,0,0,2169,0
40794,0,1,0,1148,0,60,0,0,0,0,1,0,0,0,2685,1
40059,0,0,69,364,40,425,0,60,50,0,0,0,0,0,2317,0
66375,0,1,0,384,0,102,0,32,5,0,0,0,0,0,2328,0
59821,0,0,8,1092,37,592,145,37,55,0,0,0,1,0,2354,1
61798,0,0,11,20,6,5,0,9,12,1,0,0,0,0,2519,0
24882,0,1,83,509,0,65,7,11,5,0,0,0,0,0,2728,0
16014,0,0,40,703,102,601,0,58,43,0,0,0,0,0,2387,1
43269,1,1,87,0,4,10,3,4,18,0,0,0,0,0,2249,0
74637,0,0,94,0,28,818,0,28,56,1,0,1,1,1,2618,1
58138,1,1,0,0,4,44,10,10,43,0,0,0,0,0,2578,1
30351,0,1,0,0,10,38,0,13,27,0,0,0,0,0,2733,0
82800,0,0,0,0,64,464,146,0,16,0,0,0,1,0,2566,0
46610,0,1,0,0,11,218,0,0,23,0,0,0,0,0,2611,1
48948,0,0,0,179,21,273,0,21,63,1,0,0,1,0,2814,1
7500,1,0,0,8,0,15,7,6,2,0,0,0,0,0,2731,0
82582,0,0,0,620,0,239,99,0,119,0,1,0,0,1,2839,1
82384,0,0,0,91,0,128,65,0,50,0,0,0,0,0,2843,0
70287,0,0,8,16,0,30,8,0,26,0,0,0,0,0,2753,0
75777,0,0,28,712,0,420,65,0,38,0,0,0,0,0,2451,1
25721,0,0,84,0,0,241,104,0,232,0,0,0,0,0,2822,0
88194,0,0,23,0,0,26,11,0,12,0,0,0,0,0,2580,0
75251,0,0,2,0,0,653,28,0,0,0,0,0,0,0,2844,1
75825,0,1,84,0,0,19,0,0,20,0,0,0,0,0,2283,0
56046,0,0,28,0,31,558,0,0,79,0,0,0,0,0,2247,0
50388,0,0,10,0,153,293,0,0,30,0,1,0,0,0,2729,1
87195,0,0,38,0,6,15,0,7,13,0,0,0,0,0,2731,0
68126,0,0,12,0,26,538,0,13,80,0,1,1,0,0,2519,1
86037,0,1,93,0,63,254,0,12,12,0,1,0,0,0,2733,0
32557,0,1,91,350,3,0,0,0,19,0,0,0,0,0,2388,0
101970,0,0,56,1050,14,0,0,14,112,1,0,0,0,0,2302,1
79607,0,0,23,1006,22,0,59,68,0,0,0,0,1,0,2741,1
35860,2,1,31,8,1,0,0,0,0,0,0,0,0,0,2316,0
65104,0,0,58,184,23,0,30,23,0,0,1,0,1,0,0,1
23957,1,0,30,46,0,0,3,0,0,0,0,0,0,0,0,0
69372,0,0,15,32,0,0,23,4,0,0,0,0,0,0,0,0
83837,0,0,15,840,53,0,23,71,0,0,0,0,1,0,0,1
46854,0,0,3,345,53,0,98,75,0,0,0,0,0,0,0,1
102160,1,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1
18890,0,1,0,522,0,0,32,16,0,0,0,0,0,0,0,1
64497,0,0,0,635,88,0,172,88,0,0,0,0,0,0,0,1
37070,0,0,0,539,169,0,20,0,0,0,0,0,0,0,0,1
73687,0,1,0,204,7,149,20,15,0,0,0,0,0,0,0,0
80134,1,1,0,15,0,8,4,2,20,0,0,0,0,0,0,0
102692,0,1,0,14,0,3,0,0,3,0,0,0,0,0,0,0
15287,1,0,63,123,17,171,0,0,30,0,0,0,0,0,2390,0
43776,0,0,32,0,178,555,0,138,118,0,0,0,0,0,2520,0
38097,0,1,0,0,7,115,0,7,0,0,0,0,0,0,2268,0
69267,0,0,0,0,44,499,0,73,0,0,0,0,0,0,2804,1
60714,0,0,0,0,28,100,0,74,0,0,0,0,0,0,2786,0
69867,0,0,0,0,8,206,0,49,0,1,0,0,0,0,2672,1
27038,1,0,0,0,2,12,0,1,0,1,0,0,0,0,2730,1
66334,0,0,0,0,47,237,0,19,0,0,0,0,0,0,2455,0
35178,0,0,0,0,80,428,0,93,0,0,0,0,0,0,2739,0
75693,0,0,0,0,102,673,0,40,0,0,0,0,0,0,2693,1
83003,1,0,0,0,8,11,0,8,0,0,0,0,0,0,0,0
27190,0,0,0,0,28,520,0,123,47,0,0,0,0,0,0,1
84835,1,0,0,297,0,38,0,0,152,1,0,0,0,0,0,1
69759,0,0,0,108,1,28,13,1,4,0,0,0,0,0,0,0
38578,0,1,0,152,3,22,2,5,7,0,0,0,0,0,0,0
22585,1,0,0,46,7,59,2,4,27,1,0,0,0,0,0,1
43795,0,1,0,710,15,30,20,0,0,0,0,0,0,0,0,1
15345,0,1,0,717,42,864,219,30,84,0,0,0,1,0,0,0
14515,0,0,0,488,21,238,56,108,28,0,0,0,0,0,2857,0
55521,1,0,0,152,9,121,12,12,0,0,0,0,0,0,2853,0
27213,0,0,0,450,133,0,173,0,0,0,0,0,0,0,2593,1
23616,1,1,0,24,0,0,0,1,0,0,0,0,0,0,2255,0
91065,1,1,0,267,42,0,55,42,0,0,0,0,0,0,2529,1
82584,0,1,0,1245,33,0,21,33,0,0,0,0,0,0,2767,0
84865,1,1,0,18,6,0,12,8,0,0,0,0,0,0,2487,0
89572,0,0,0,769,80,0,15,34,0,1,0,0,0,0,2310,1
